Date,Open,High,Low,Close,Adj Close
17-09-07,4518.45,4549.05,4482.85,4494.65,4494.65
18-09-07,4494.1,4551.8,4481.55,4546.2,4546.2
19-09-07,4550.25,4739,4550.25,4732.35,4732.35
20-09-07,4734.85,4760.85,4721.15,4747.55,4747.55
21-09-07,4752.95,4855.7,4733.7,4837.55,4837.55
24-09-07,4837.15,4941.15,4837.15,4932.2,4932.2
25-09-07,4939.1,4953.9,4878.15,4938.85,4938.85
26-09-07,4937.6,4980.85,4930.35,4940.5,4940.5
27-09-07,4942.7,5016.4,4942.7,5000.55,5000.55
28-09-07,4996.45,5055.8,4996.45,5021.35,5021.35
01-10-07,5021.5,5089.3,5001.35,5068.95,5068.95
03-10-07,5069,5261.35,5034.15,5210.8,5210.8
04-10-07,5211.65,5233.1,5126.05,5208.65,5208.65
05-10-07,5208.15,5248.55,5164.5,5185.85,5185.85
08-10-07,5186.25,5249.3,5024.75,5085.1,5085.1
09-10-07,5062.65,5348.7,5000.95,5327.25,5327.25
10-10-07,5328.15,5454.7,5328.15,5441.45,5441.45
11-10-07,5438.9,5532.75,5424.25,5524.85,5524.85
12-10-07,5525.3,5549.3,5402.6,5428.25,5428.25
15-10-07,5428.35,5682.65,5419.9,5670.4,5670.4
16-10-07,5670.65,5708.35,5578.45,5668.05,5668.05
17-10-07,5658.9,5658.9,5107.3,5559.3,5559.3
18-10-07,5551.1,5736.8,5269.65,5351,5351
19-10-07,5360.35,5390.85,5101.75,5215.3,5215.3
22-10-07,5202.75,5247.4,5070.9,5184,5184
23-10-07,5185.3,5488.5,5176.85,5473.7,5473.7
24-10-07,5477.6,5577.9,5419.4,5496.15,5496.15
25-10-07,5499.05,5605.95,5469.3,5568.95,5568.95
26-10-07,5564.25,5716.9,5513.35,5702.3,5702.3
29-10-07,5708.9,5922.5,5708.9,5905.9,5905.9
30-10-07,5917.55,5976,5833.9,5868.75,5868.75
31-10-07,5868.9,5952.25,5861.3,5900.65,5900.65
01-11-07,5903.8,6011.95,5837.2,5866.45,5866.45
02-11-07,5854.85,5944.75,5714.25,5932.4,5932.4
05-11-07,5931.9,5948.55,5819.6,5847.3,5847.3
06-11-07,5847.1,5957.2,5759.95,5786.5,5786.5
07-11-07,5782.4,5861.35,5744.3,5782.35,5782.35
08-11-07,5779.3,5780.8,5646.75,5698.75,5698.75
12-11-07,5660.6,5660.6,5477.5,5617.1,5617.1
13-11-07,5612.35,5758.85,5591.6,5695.4,5695.4
14-11-07,5703.95,5950.2,5700.05,5937.9,5937.9
15-11-07,5942.7,5966.95,5895.65,5912.1,5912.1
16-11-07,5913.15,5948.05,5817.4,5906.85,5906.85
19-11-07,5908.05,5981.8,5893.8,5907.65,5907.65
20-11-07,5911.25,5923.7,5755.8,5780.9,5780.9
21-11-07,5778.8,5790.05,5530.85,5561.05,5561.05
22-11-07,5564.65,5608.65,5394.35,5519.35,5519.35
23-11-07,5524.3,5638.6,5514.75,5608.6,5608.6
26-11-07,5611.3,5772.55,5608.95,5731.7,5731.7
27-11-07,5729.25,5743.55,5655.6,5698.15,5698.15
28-11-07,5699.55,5749.95,5595.5,5617.55,5617.55
29-11-07,5617.8,5725,5612.1,5634.6,5634.6
30-11-07,5633.9,5782.55,5632.65,5762.75,5762.75
03-12-07,5765.45,5878.8,5754.6,5865,5865
04-12-07,5870.2,5897.25,5840.3,5858.35,5858.35
05-12-07,5861.9,5949.3,5859.95,5940,5940
06-12-07,5941.05,6027.05,5919.8,5954.7,5954.7
07-12-07,5963.6,6042.1,5894.8,5974.3,5974.3
10-12-07,5974,6015.3,5923.35,5960.6,5960.6
11-12-07,5960.4,6111.2,5960.4,6097.25,6097.25
12-12-07,6067.05,6175.65,6005.45,6159.3,6159.3
13-12-07,6159.25,6185.4,6040.4,6058.1,6058.1
14-12-07,6056.2,6078.55,6015.05,6047.7,6047.7
17-12-07,6037.95,6039.95,5740.6,5777,5777
18-12-07,5777.6,5874.6,5710.6,5742.3,5742.3
19-12-07,5730.25,5840.8,5676.7,5751.15,5751.15
20-12-07,5751.75,5799.5,5742.75,5766.5,5766.5
24-12-07,5771.3,6001.05,5771.3,5985.1,5985.1
26-12-07,5988.45,6085.25,5988.45,6070.75,6070.75
27-12-07,6069,6110.85,6060.2,6081.5,6081.5
28-12-07,6079.55,6098.6,6021.9,6079.7,6079.7
31-12-07,6095,6167.75,6095,6138.6,6138.6
01-01-08,6136.75,6165.35,6109.85,6144.35,6144.35
02-01-08,6144.7,6197,6060.85,6179.4,6179.4
03-01-08,6184.25,6230.15,6126.4,6178.55,6178.55
04-01-08,6179.1,6300.05,6179.1,6274.3,6274.3
07-01-08,6271,6289.8,6193.35,6279.1,6279.1
08-01-08,6282.45,6357.1,6221.6,6287.85,6287.85
